closingPrice,maxPrice,minPrice,openingPrice,periodEndTime,periodNumber,periodStartTime,symbol,symbolID
133.991,20.0288,19.6713,134.882,00:00:19,1,00:00:00,cpgx,2
133.793,19.994,19.7309,134.041,00:00:39,2,00:00:20,cpgx,2
133.882,20.0089,19.7706,133.888,00:00:59,3,00:00:40,cpgx,2
133.882,19.8004,19.6415,133.803,00:01:19,4,00:01:00,cpgx,2
133.239,19.7706,19.6316,133.958,00:01:39,5,00:01:20,cpgx,2
133.407,19.8004,19.6614,133.239,00:01:59,6,00:01:40,cpgx,2
133.308,19.86,19.7309,133.387,00:02:19,7,00:02:00,cpgx,2
133.199,19.8004,19.6514,133.288,00:02:39,8,00:02:20,cpgx,2
133.338,19.9146,19.721,133.179,00:02:59,9,00:02:40,cpgx,2
133.516,19.9891,19.86,133.231,00:03:19,10,00:03:00,cpgx,2
133.902,19.8898,19.8203,133.556,00:03:39,11,00:03:20,cpgx,2
134.213,19.86,19.7805,134.011,00:03:59,12,00:03:40,cpgx,2
133.961,20.0189,19.8798,134.09,00:04:19,13,00:04:00,cpgx,2
133.732,20.0486,19.9493,133.937,00:04:39,14,00:04:20,cpgx,2
133.922,20.0586,19.9791,133.852,00:04:59,15,00:04:40,cpgx,2
133.575,20.0288,19.9295,133.862,00:05:19,16,00:05:00,cpgx,2
133.526,20.0288,19.9503,133.546,00:05:39,17,00:05:20,cpgx,2
133.249,20.0189,19.9096,133.467,00:05:59,18,00:05:40,cpgx,2
134.199,20.0586,19.8699,133.328,00:06:19,19,00:06:00,cpgx,2
134.941,20.1082,19.9398,134.318,00:06:39,20,00:06:20,cpgx,2
134.664,19.999,19.8103,134.743,00:06:59,21,00:06:40,cpgx,2
134.645,19.9493,19.8203,134.724,00:07:19,22,00:07:00,cpgx,2
134.178,19.8898,19.8004,134.546,00:07:39,23,00:07:20,cpgx,2
134.425,19.9593,19.8103,134.209,00:07:59,24,00:07:40,cpgx,2
134.031,19.86,19.7954,134.466,00:08:19,25,00:08:00,cpgx,2
133.991,19.86,19.8004,133.833,00:08:39,26,00:08:20,cpgx,2
133.942,19.8401,19.7706,133.917,00:08:59,27,00:08:40,cpgx,2
133.504,19.8302,19.721,134.013,00:09:19,28,00:09:00,cpgx,2
133.764,19.7805,19.6961,133.595,00:09:39,29,00:09:20,cpgx,2
133.952,19.7905,19.7507,133.823,00:09:59,30,00:09:40,cpgx,2
133.902,19.8103,19.7458,134.051,00:10:19,31,00:10:00,cpgx,2
133.954,19.7706,19.711,133.902,00:10:39,32,00:10:20,cpgx,2
134.348,19.86,19.7607,133.971,00:10:59,33,00:10:40,cpgx,2
134.456,19.9196,19.8451,134.318,00:11:19,34,00:11:00,cpgx,2
134.199,19.9692,19.9096,134.496,00:11:39,35,00:11:20,cpgx,2
134.249,19.9891,19.9295,134.292,00:11:59,36,00:11:40,cpgx,2
134.229,19.9096,19.8451,134.288,00:12:19,37,00:12:00,cpgx,2
134.308,20.0189,19.8302,134.189,00:12:39,38,00:12:20,cpgx,2
134.348,20.0189,19.7408,134.328,00:12:59,39,00:12:40,cpgx,2
133.179,19.8302,19.7011,133.021,00:13:19,40,00:13:00,cpgx,2
133.249,19.8004,19.6713,133.209,00:13:39,41,00:13:20,cpgx,2
133.704,19.711,19.6514,133.432,00:13:59,42,00:13:40,cpgx,2
133.467,19.6812,19.4926,133.773,00:14:19,43,00:14:00,cpgx,2
133.648,19.5869,19.4231,133.427,00:14:39,44,00:14:20,cpgx,2
133.787,19.6217,19.5224,133.674,00:14:59,45,00:14:40,cpgx,2
133.773,19.5621,19.4926,133.843,00:15:19,46,00:15:00,cpgx,2
133.476,19.5323,19.4032,133.833,00:15:39,47,00:15:20,cpgx,2
133.753,19.428,19.3635,133.526,00:15:59,48,00:15:40,cpgx,2
133.922,19.3771,19.294,133.803,00:16:19,49,00:16:00,cpgx,2
133.872,19.284,19.2592,133.922,00:16:39,50,00:16:20,cpgx,2
133.922,19.3635,19.284,133.833,00:16:59,51,00:16:40,cpgx,2
133.772,19.3535,19.294,133.899,00:17:19,52,00:17:00,cpgx,2
133.635,19.3437,19.289,133.694,00:17:39,53,00:17:20,cpgx,2
133.872,19.3436,19.1587,133.825,00:17:59,54,00:17:40,cpgx,2
133.357,19.145,19.0308,133.912,00:18:19,55,00:18:00,cpgx,2
133.12,19.0556,18.9961,133.239,00:18:39,56,00:18:20,cpgx,2
133.516,19.1649,19.006,133.151,00:18:59,57,00:18:40,cpgx,2
133.566,19.1847,18.6585,133.467,00:19:19,58,00:19:00,cpgx,2
133.009,18.7577,18.4499,133.635,00:19:39,59,00:19:20,cpgx,2
133.15,18.7577,18.4698,132.981,00:19:59,60,00:19:40,cpgx,2
133.13,18.6287,18.4499,133.219,00:20:19,61,00:20:00,cpgx,2
133.209,18.7776,18.6103,133.219,00:20:39,62,00:20:20,cpgx,2
133.585,18.867,18.6088,133.209,00:20:59,63,00:20:40,cpgx,2
133.427,18.728,18.6089,133.496,00:21:19,64,00:21:00,cpgx,2
133.268,18.7081,18.6187,133.278,00:21:39,65,00:21:20,cpgx,2
132.796,18.6784,18.6187,133.189,00:21:59,66,00:21:40,cpgx,2
132.546,18.6783,18.5889,132.793,00:22:19,67,00:22:00,cpgx,2
132.486,18.6585,18.4896,132.516,00:22:39,68,00:22:20,cpgx,2
132.374,18.5889,18.4797,132.506,00:22:59,69,00:22:40,cpgx,2
131.784,18.5362,18.4599,132.298,00:23:19,70,00:23:00,cpgx,2
131.14,18.4896,18.4301,131.754,00:23:39,71,00:23:20,cpgx,2
131.388,18.4946,18.4201,131.269,00:23:59,72,00:23:40,cpgx,2
131.551,18.4648,18.4102,131.417,00:24:19,73,00:24:00,cpgx,2
131.466,18.7379,18.4102,131.635,00:24:39,74,00:24:20,cpgx,2
131.488,18.6783,18.2116,131.605,00:24:59,75,00:24:40,cpgx,2
131.417,18.4003,18.1818,131.408,00:25:19,76,00:25:00,cpgx,2
131.704,18.2811,18.152,131.507,00:25:39,77,00:25:20,cpgx,2
131.338,18.4599,18.2215,131.694,00:25:59,78,00:25:40,cpgx,2
131.507,18.579,18.3109,131.833,00:26:19,79,00:26:00,cpgx,2
